"BCJDTAPRD","BCCAAIX","CAA_CASE_NUM","Case                Num","BCAAIX CaseNum","CHAR","BASE TABLE"
"BCJDTAPRD","BCCAAIX","CAA_CC_CASE","Case","BCAAIX Case","CHAR","BASE TABLE"
"BCJDTAPRD","BCCAAIX","CAA_TYPE","Type","BCAAIX Type","CHAR","BASE TABLE"
"BCJDTAPRD","BCCAAIX","CAA_SEQ","Seq","BCAAIX Seq","NUMERIC","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_KEY","Key","BCJATY Key","DECIMAL","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_NAME","Name","BCJATY Name","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_ADDR","Addr","BCJATY Addr","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_CITY","City","BCJATY City","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_STATE","State","BCJATY State","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_ZIP","Zip","BCJATY Zip","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_TELEPHONE","Telephone","BCJATY Telephone","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_NAME_ABBR","Name                Abbr","BCJATY NameAbbr","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_CODE","Code","BCJATY Code","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_ASSIGNED","Assigned","BCJATY Assigned","DECIMAL","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_REASSIGNED","Reassigned","BCJATY Reassigned","DECIMAL","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_REMOVED","Removed","BCJATY Removed","DECIMAL","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_RETURNED","Returned","BCJATY Returned","DECIMAL","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_RECALLED","Recalled","BCJATY Recalled","DECIMAL","BASE TABLE"
"BCJDTAPRD","BCCJATTY","CJA_BAR_NUMBER","Bar Number","BCJATY BarNumber","DECIMAL","BASE TABLE"
"BCJDTAPRD","BCCJLETT","LETTER_KEY","Key","Key","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJLETT","LETTER_KTR","Ktr","Ktr","NUMERIC","BASE TABLE"
"BCJDTAPRD","BCCJLETT","DL","Dl","Dl","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_KEY","Key","BCJOFN Key","NUMERIC","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_OFFN_LIT","Offn                Lit","BCJOFN OffnLit","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_CO_CODE","Code","BCJOFN Code","NUMERIC","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_DI_CODE","Code","BCJOFN Code","NUMERIC","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_AP_CODE","Code","BCJOFN Code","NUMERIC","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","FILLER_001","Filler","BCJOFN Filler","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_TYPE","Type","BCJOFN Type","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_CLASS","Class","BCJOFN Class","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_JA_CODE","Code","BCJOFN Code","NUMERIC","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_EX_CODE","Code","BCJOFN Code","NUMERIC","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_ABBR_LIT","Abbr                Lit","BCJOFN AbbrLit","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_NCIC_CODE","Ncic                Code","BCJOFN NcicCode","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","CJO_GOC_CODE","Goc                 Code","BCJOFN GocCode","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJOFFN","FILLER_002","Filler","BCJOFN Filler","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJTRAN","CJT_JOB","Job","Job","CHAR","BASE TABLE"
"BCJDTAPRD","BCCJTRAN","CJT_TERMID","Termid","Termid","CHAR","BASE TABLE"
